Injection,Layer,TensorIndex,Bit
0,conv2d,"(0, 2, 1, 5)",4
1,conv2d,"(0, 1, 2, 9)",31
2,conv2d,"(1, 2, 0, 9)",28
3,conv2d,"(1, 0, 0, 3)",21
4,conv2d,"(1, 1, 0, 4)",13
5,conv2d,"(1, 0, 1, 6)",22
6,conv2d,"(2, 1, 2, 9)",12
7,conv2d,"(1, 1, 2, 1)",9
8,conv2d,"(0, 0, 2, 3)",5
9,conv2d,"(2, 2, 0, 15)",5
10,conv2d,"(0, 0, 2, 10)",23
11,conv2d,"(1, 2, 2, 10)",15
12,conv2d,"(0, 1, 2, 6)",17
13,conv2d,"(1, 1, 0, 11)",0
14,conv2d,"(2, 2, 2, 14)",12
15,conv2d,"(2, 0, 0, 5)",15
16,conv2d,"(2, 2, 2, 0)",17
17,conv2d_1,"(2, 1, 14, 0)",29
18,conv2d_1,"(2, 1, 3, 11)",3
19,conv2d_1,"(0, 0, 0, 9)",1
20,conv2d_1,"(2, 0, 14, 1)",21
21,conv2d_1,"(1, 0, 3, 11)",17
22,conv2d_1,"(0, 0, 2, 10)",10
23,conv2d_1,"(0, 0, 12, 12)",3
24,conv2d_1,"(1, 0, 12, 4)",28
25,conv2d_1,"(0, 2, 5, 11)",14
26,conv2d_1,"(0, 2, 14, 4)",11
27,conv2d_1,"(2, 2, 14, 11)",13
28,conv2d_1,"(2, 1, 14, 12)",10
29,conv2d_1,"(0, 0, 5, 15)",9
30,conv2d_1,"(0, 0, 14, 2)",3
31,conv2d_1,"(1, 0, 4, 11)",15
32,conv2d_1,"(2, 0, 6, 11)",10
33,conv2d_1,"(0, 2, 5, 4)",11
34,conv2d_1,"(2, 0, 8, 15)",30
35,conv2d_1,"(0, 0, 0, 0)",7
36,conv2d_1,"(2, 0, 9, 0)",6
37,conv2d_1,"(2, 0, 9, 2)",14
38,conv2d_1,"(1, 2, 5, 13)",7
39,conv2d_1,"(0, 0, 3, 11)",3
40,conv2d_1,"(0, 2, 3, 1)",20
41,conv2d_1,"(2, 2, 15, 12)",4
42,conv2d_1,"(0, 2, 13, 10)",16
43,conv2d_1,"(2, 0, 9, 6)",7
44,conv2d_1,"(0, 0, 6, 11)",8
45,conv2d_1,"(0, 1, 9, 9)",28
46,conv2d_1,"(2, 0, 0, 7)",18
47,conv2d_1,"(1, 1, 13, 7)",15
48,conv2d_1,"(0, 1, 12, 14)",15
49,conv2d_1,"(1, 1, 0, 14)",9
50,conv2d_1,"(1, 2, 12, 15)",25
51,conv2d_1,"(2, 2, 14, 4)",0
52,conv2d_1,"(2, 0, 15, 4)",15
53,conv2d_1,"(0, 2, 0, 11)",0
54,conv2d_1,"(1, 0, 14, 8)",0
55,conv2d_1,"(2, 2, 3, 4)",4
56,conv2d_1,"(0, 1, 5, 5)",30
57,conv2d_1,"(2, 0, 6, 6)",21
58,conv2d_1,"(1, 1, 0, 2)",12
59,conv2d_1,"(0, 1, 1, 13)",27
60,conv2d_1,"(1, 0, 5, 13)",6
61,conv2d_1,"(1, 0, 2, 14)",24
62,conv2d_1,"(2, 2, 0, 9)",6
63,conv2d_1,"(0, 2, 8, 1)",11
64,conv2d_1,"(0, 2, 5, 1)",2
65,conv2d_1,"(0, 0, 5, 4)",1
66,conv2d_1,"(0, 2, 11, 15)",6
67,conv2d_1,"(1, 1, 4, 10)",14
68,conv2d_1,"(2, 0, 3, 2)",8
69,conv2d_1,"(2, 0, 11, 0)",4
70,conv2d_1,"(2, 0, 1, 7)",5
71,conv2d_1,"(2, 1, 9, 11)",9
72,conv2d_1,"(1, 1, 7, 4)",27
73,conv2d_1,"(0, 1, 6, 13)",12
74,conv2d_1,"(0, 0, 9, 7)",30
75,conv2d_1,"(0, 1, 6, 4)",8
76,conv2d_1,"(0, 2, 13, 11)",2
77,conv2d_1,"(2, 0, 1, 9)",8
78,conv2d_1,"(1, 2, 8, 0)",16
79,conv2d_1,"(1, 2, 9, 9)",13
80,conv2d_1,"(0, 0, 11, 13)",27
81,conv2d_1,"(1, 1, 10, 4)",26
82,conv2d_1,"(2, 2, 9, 13)",10
83,conv2d_1,"(2, 0, 3, 1)",23
84,conv2d_1,"(0, 1, 7, 9)",16
85,conv2d_1,"(1, 0, 6, 3)",11
86,conv2d_1,"(0, 1, 0, 1)",1
87,conv2d_1,"(0, 0, 11, 11)",19
88,conv2d_1,"(2, 2, 3, 13)",24
89,conv2d_1,"(1, 2, 3, 1)",28
90,conv2d_1,"(2, 1, 0, 5)",15
91,conv2d_1,"(0, 1, 5, 11)",29
92,conv2d_1,"(1, 0, 6, 7)",20
93,conv2d_1,"(2, 0, 10, 9)",21
94,conv2d_1,"(0, 2, 9, 13)",9
95,conv2d_1,"(2, 2, 8, 2)",8
96,conv2d_1,"(1, 2, 9, 5)",4
97,conv2d_1,"(2, 1, 5, 14)",28
98,conv2d_1,"(0, 2, 8, 8)",27
99,conv2d_1,"(1, 2, 14, 15)",9
100,conv2d_1,"(0, 0, 0, 13)",7
101,conv2d_1,"(2, 1, 1, 15)",19
102,conv2d_1,"(0, 1, 3, 5)",7
103,conv2d_2,"(2, 2, 10, 11)",22
104,conv2d_2,"(0, 0, 2, 7)",20
105,conv2d_2,"(0, 1, 6, 9)",1
106,conv2d_2,"(1, 1, 13, 10)",11
107,conv2d_2,"(1, 2, 14, 4)",27
108,conv2d_2,"(1, 1, 1, 15)",10
109,conv2d_2,"(0, 1, 2, 4)",5
110,conv2d_2,"(0, 1, 6, 13)",24
111,conv2d_2,"(1, 2, 2, 2)",5
112,conv2d_2,"(0, 2, 6, 7)",13
