Injection,Layer,TensorIndex,Bit
0,conv2d,"(0, 2, 1, 5)",4
1,conv2d_1,"(2, 1, 14, 0)",29
2,conv2d_2,"(2, 1, 11, 14)",20
3,conv2d_3,"(2, 0, 0, 10)",18
4,conv2d_4,"(1, 0, 9, 5)",17
5,conv2d_5,"(0, 2, 12, 2)",10
6,conv2d_6,"(0, 2, 14, 13)",17
7,conv2d_7,"(1, 0, 0, 31)",9
8,conv2d_8,"(2, 0, 15, 9)",20
9,conv2d_9,"(0, 1, 25, 14)",21
10,conv2d_10,"(0, 2, 24, 11)",1
11,conv2d_11,"(1, 0, 11, 22)",18
12,conv2d_12,"(0, 2, 2, 24)",13
13,conv2d_13,"(2, 2, 14, 33)",11
14,conv2d_14,"(2, 1, 17, 44)",1
15,conv2d_15,"(0, 1, 19, 6)",4
16,conv2d_16,"(1, 1, 8, 17)",5
17,conv2d_17,"(0, 2, 8, 40)",19
18,conv2d_18,"(2, 0, 43, 5)",17
19,dense,"(3, 9)",4
