Injection,Layer,TensorIndex,Bit
0,conv2d,"(0, 2, 1, 5)",22
1,conv2d,"(0, 1, 2, 9)",5
2,conv2d,"(1, 2, 0, 9)",27
3,conv2d,"(1, 0, 0, 3)",31
4,conv2d,"(1, 1, 0, 4)",26
5,conv2d,"(1, 0, 1, 6)",21
6,conv2d,"(2, 1, 2, 9)",12
7,conv2d,"(1, 1, 2, 1)",12
8,conv2d,"(0, 0, 2, 3)",12
9,conv2d,"(2, 2, 0, 15)",24
10,conv2d,"(0, 0, 2, 10)",16
11,conv2d,"(1, 2, 2, 10)",8
12,conv2d,"(0, 1, 2, 6)",13
13,conv2d,"(1, 1, 0, 11)",26
14,conv2d,"(2, 2, 2, 14)",20
15,conv2d,"(2, 0, 0, 5)",13
16,conv2d,"(2, 2, 2, 0)",23
17,conv2d_1,"(2, 1, 14, 0)",16
18,conv2d_1,"(2, 1, 3, 11)",24
19,conv2d_1,"(0, 0, 0, 9)",24
20,conv2d_1,"(2, 0, 14, 1)",9
21,conv2d_1,"(1, 0, 3, 11)",20
22,conv2d_1,"(0, 0, 2, 10)",13
23,conv2d_1,"(0, 0, 12, 12)",25
24,conv2d_1,"(1, 0, 12, 4)",9
25,conv2d_1,"(0, 2, 5, 11)",2
26,conv2d_1,"(0, 2, 14, 4)",5
27,conv2d_1,"(2, 2, 14, 11)",19
28,conv2d_1,"(2, 1, 14, 12)",2
29,conv2d_1,"(0, 0, 5, 15)",10
30,conv2d_1,"(0, 0, 14, 2)",0
31,conv2d_1,"(1, 0, 4, 11)",14
32,conv2d_1,"(2, 0, 6, 11)",21
33,conv2d_1,"(0, 2, 5, 4)",31
34,conv2d_1,"(2, 0, 8, 15)",9
35,conv2d_1,"(0, 0, 0, 0)",15
36,conv2d_1,"(2, 0, 9, 0)",22
37,conv2d_1,"(2, 0, 9, 2)",1
38,conv2d_1,"(1, 2, 5, 13)",31
39,conv2d_1,"(0, 0, 3, 11)",13
40,conv2d_1,"(0, 2, 3, 1)",0
41,conv2d_1,"(2, 2, 15, 12)",9
42,conv2d_1,"(0, 2, 13, 10)",31
43,conv2d_1,"(2, 0, 9, 6)",22
44,conv2d_1,"(0, 0, 6, 11)",22
45,conv2d_1,"(0, 1, 9, 9)",24
46,conv2d_1,"(2, 0, 0, 7)",31
47,conv2d_1,"(1, 1, 13, 7)",24
48,conv2d_1,"(0, 1, 12, 14)",1
49,conv2d_1,"(1, 1, 0, 14)",23
50,conv2d_1,"(1, 2, 12, 15)",28
51,conv2d_1,"(2, 2, 14, 4)",7
52,conv2d_1,"(2, 0, 15, 4)",13
53,conv2d_1,"(0, 2, 0, 11)",20
54,conv2d_1,"(1, 0, 14, 8)",29
55,conv2d_1,"(2, 2, 3, 4)",26
56,conv2d_1,"(0, 1, 5, 5)",2
57,conv2d_1,"(2, 0, 6, 6)",31
58,conv2d_1,"(1, 1, 0, 2)",19
59,conv2d_1,"(0, 1, 1, 13)",0
60,conv2d_1,"(1, 0, 5, 13)",27
61,conv2d_1,"(1, 0, 2, 14)",6
62,conv2d_1,"(2, 2, 0, 9)",15
63,conv2d_1,"(0, 2, 8, 1)",17
64,conv2d_1,"(0, 2, 5, 1)",9
65,conv2d_1,"(0, 0, 5, 4)",28
66,conv2d_1,"(0, 2, 11, 15)",24
67,conv2d_1,"(1, 1, 4, 10)",22
68,conv2d_1,"(2, 0, 3, 2)",22
69,conv2d_1,"(2, 0, 11, 0)",2
70,conv2d_1,"(2, 0, 1, 7)",24
71,conv2d_1,"(2, 1, 9, 11)",8
72,conv2d_1,"(1, 1, 7, 4)",16
73,conv2d_1,"(0, 1, 6, 13)",1
74,conv2d_1,"(0, 0, 9, 7)",1
75,conv2d_1,"(0, 1, 6, 4)",10
76,conv2d_1,"(0, 2, 13, 11)",22
77,conv2d_1,"(2, 0, 1, 9)",7
78,conv2d_1,"(1, 2, 8, 0)",27
