Injection,Layer,TensorIndex,Bit
0,conv2d,"(0, 2, 1, 5)",22
1,conv2d_1,"(2, 1, 14, 0)",16
2,conv2d_2,"(0, 0, 2, 7)",28
3,conv2d_3,"(0, 1, 7, 4)",19
4,conv2d_4,"(1, 0, 13, 11)",22
5,conv2d_5,"(0, 2, 6, 5)",6
6,conv2d_6,"(1, 1, 13, 4)",31
7,conv2d_7,"(0, 0, 14, 27)",13
8,conv2d_8,"(1, 0, 1, 4)",25
9,conv2d_9,"(2, 2, 29, 6)",20
10,conv2d_10,"(1, 2, 0, 31)",22
11,conv2d_11,"(0, 0, 26, 5)",19
12,conv2d_12,"(1, 1, 31, 12)",16
13,conv2d_13,"(2, 2, 30, 28)",0
14,conv2d_14,"(2, 2, 55, 32)",1
15,conv2d_15,"(0, 0, 11, 35)",20
16,conv2d_16,"(0, 2, 28, 55)",17
17,conv2d_17,"(2, 0, 45, 26)",20
18,conv2d_18,"(2, 2, 1, 38)",27
19,dense,"(40, 8)",21
