Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 0, 2, 6)",15
1,conv2d,"(0, 1, 0, 11)",6
2,conv2d,"(2, 2, 0, 5)",8
3,conv2d,"(2, 2, 2, 12)",14
4,conv2d,"(1, 0, 2, 8)",16
5,conv2d,"(0, 2, 2, 7)",14
6,conv2d,"(1, 2, 1, 8)",25
7,conv2d,"(1, 1, 0, 6)",26
8,conv2d,"(1, 0, 1, 6)",17
9,conv2d,"(0, 0, 2, 8)",13
10,conv2d,"(2, 1, 1, 12)",27
11,conv2d,"(0, 2, 0, 4)",25
12,conv2d,"(2, 2, 1, 13)",7
13,conv2d,"(1, 0, 0, 15)",11
14,conv2d,"(2, 1, 1, 14)",29
15,conv2d,"(2, 1, 0, 14)",24
16,conv2d,"(2, 0, 2, 1)",23
17,conv2d_1,"(1, 0, 9, 14)",6
18,conv2d_1,"(0, 2, 8, 1)",18
19,conv2d_1,"(2, 2, 14, 10)",2
20,conv2d_1,"(0, 0, 11, 14)",29
21,conv2d_1,"(0, 1, 11, 7)",25
22,conv2d_1,"(2, 2, 6, 12)",31
23,conv2d_1,"(0, 0, 3, 8)",18
24,conv2d_1,"(1, 2, 5, 14)",7
25,conv2d_1,"(2, 0, 14, 6)",6
26,conv2d_1,"(2, 1, 12, 15)",20
27,conv2d_1,"(2, 2, 4, 13)",21
28,conv2d_1,"(2, 0, 7, 1)",0
29,conv2d_1,"(0, 0, 0, 9)",13
30,conv2d_1,"(0, 1, 10, 14)",25
31,conv2d_1,"(1, 2, 9, 13)",14
32,conv2d_1,"(1, 0, 3, 15)",11
33,conv2d_1,"(2, 1, 12, 8)",28
34,conv2d_1,"(1, 2, 6, 7)",5
35,conv2d_1,"(2, 0, 15, 6)",12
36,conv2d_1,"(1, 1, 4, 7)",13
37,conv2d_1,"(2, 1, 5, 10)",1
38,conv2d_1,"(2, 2, 14, 2)",27
39,conv2d_1,"(2, 1, 10, 3)",15
40,conv2d_1,"(2, 1, 4, 15)",20
41,conv2d_1,"(2, 2, 9, 8)",13
42,conv2d_1,"(2, 2, 13, 14)",16
43,conv2d_1,"(0, 1, 9, 9)",15
44,conv2d_1,"(0, 1, 0, 2)",13
45,conv2d_1,"(0, 0, 2, 1)",21
46,conv2d_1,"(2, 1, 15, 2)",10
47,conv2d_1,"(2, 1, 6, 6)",18
48,conv2d_1,"(1, 2, 6, 0)",23
49,conv2d_1,"(1, 0, 6, 13)",8
50,conv2d_1,"(0, 2, 12, 8)",30
51,conv2d_1,"(1, 2, 1, 8)",21
52,conv2d_1,"(0, 2, 5, 1)",10
53,conv2d_1,"(2, 1, 0, 2)",4
54,conv2d_1,"(0, 2, 5, 14)",23
55,conv2d_1,"(0, 1, 14, 7)",3
56,conv2d_1,"(0, 0, 6, 11)",7
57,conv2d_1,"(0, 2, 2, 8)",27
58,conv2d_1,"(1, 1, 5, 10)",21
59,conv2d_1,"(2, 1, 6, 7)",8
60,conv2d_1,"(0, 1, 5, 9)",29
61,conv2d_1,"(0, 0, 5, 2)",8
62,conv2d_1,"(0, 1, 14, 14)",17
63,conv2d_1,"(1, 0, 13, 2)",25
64,conv2d_1,"(1, 0, 8, 8)",18
65,conv2d_1,"(2, 2, 2, 5)",24
66,conv2d_1,"(1, 0, 14, 12)",25
67,conv2d_1,"(1, 1, 14, 9)",15
68,conv2d_1,"(1, 1, 1, 6)",3
69,conv2d_1,"(1, 1, 3, 8)",13
70,conv2d_1,"(0, 2, 0, 6)",29
71,conv2d_1,"(0, 0, 0, 13)",2
72,conv2d_1,"(1, 0, 11, 8)",2
73,conv2d_1,"(1, 2, 12, 2)",23
74,conv2d_1,"(0, 2, 11, 4)",16
75,conv2d_1,"(0, 2, 3, 3)",15
76,conv2d_1,"(2, 2, 6, 1)",10
77,conv2d_1,"(2, 0, 0, 7)",25
78,conv2d_1,"(1, 1, 12, 9)",28
79,conv2d_1,"(1, 1, 0, 1)",28
80,conv2d_1,"(0, 0, 10, 13)",5
81,conv2d_1,"(0, 1, 8, 6)",19
82,conv2d_1,"(2, 2, 14, 13)",3
83,conv2d_1,"(1, 1, 0, 12)",31
84,conv2d_1,"(2, 0, 10, 9)",15
85,conv2d_1,"(2, 1, 10, 8)",16
86,conv2d_1,"(1, 0, 5, 0)",12
87,conv2d_1,"(1, 1, 4, 2)",28
88,conv2d_1,"(2, 2, 0, 11)",2
89,conv2d_1,"(2, 0, 13, 8)",9
90,conv2d_1,"(0, 2, 11, 5)",8
91,conv2d_1,"(1, 2, 5, 6)",18
92,conv2d_1,"(0, 2, 14, 5)",1
93,conv2d_1,"(0, 2, 5, 0)",13
94,conv2d_1,"(0, 2, 6, 12)",15
95,conv2d_1,"(1, 2, 14, 3)",14
96,conv2d_1,"(2, 0, 5, 0)",9
97,conv2d_1,"(2, 1, 14, 4)",15
98,conv2d_1,"(1, 2, 4, 3)",20
99,conv2d_1,"(0, 1, 11, 8)",16
100,conv2d_1,"(0, 1, 13, 14)",19
101,conv2d_1,"(1, 1, 5, 13)",25
102,conv2d_1,"(1, 1, 14, 6)",7
103,conv2d_2,"(0, 2, 1, 5)",21
104,conv2d_2,"(2, 0, 13, 14)",13
105,conv2d_2,"(1, 0, 12, 14)",17
106,conv2d_2,"(1, 2, 9, 6)",2
107,conv2d_2,"(0, 0, 2, 7)",1
108,conv2d_2,"(2, 1, 9, 14)",12
109,conv2d_2,"(0, 1, 12, 6)",24
110,conv2d_2,"(0, 0, 5, 8)",22
111,conv2d_2,"(2, 0, 0, 5)",15
112,conv2d_2,"(0, 0, 13, 5)",17
113,conv2d_2,"(0, 0, 8, 0)",13
114,conv2d_2,"(1, 1, 6, 11)",16
115,conv2d_2,"(2, 1, 6, 8)",4
116,conv2d_2,"(1, 0, 10, 5)",15
117,conv2d_2,"(2, 2, 5, 4)",8
118,conv2d_2,"(1, 1, 8, 1)",30
119,conv2d_2,"(2, 2, 1, 5)",9
120,conv2d_2,"(1, 2, 0, 14)",21
121,conv2d_2,"(2, 1, 13, 5)",29
122,conv2d_2,"(1, 1, 7, 12)",22
123,conv2d_2,"(0, 1, 2, 12)",28
124,conv2d_2,"(1, 2, 3, 14)",7
125,conv2d_2,"(0, 2, 6, 14)",5
126,conv2d_2,"(0, 0, 2, 11)",5
127,conv2d_2,"(0, 0, 2, 9)",5
128,conv2d_2,"(2, 0, 2, 8)",17
129,conv2d_2,"(0, 1, 13, 5)",1
130,conv2d_2,"(0, 2, 9, 6)",9
131,conv2d_2,"(1, 0, 3, 8)",1
132,conv2d_2,"(2, 2, 13, 1)",1
133,conv2d_2,"(0, 0, 2, 1)",13
134,conv2d_2,"(1, 0, 11, 10)",11
135,conv2d_2,"(1, 2, 0, 2)",8
136,conv2d_2,"(0, 2, 9, 5)",13
137,conv2d_2,"(2, 2, 8, 4)",0
138,conv2d_2,"(2, 1, 4, 6)",31
139,conv2d_2,"(0, 2, 8, 10)",25
140,conv2d_2,"(2, 2, 4, 14)",27
141,conv2d_2,"(2, 2, 15, 9)",23
142,conv2d_2,"(2, 2, 9, 15)",20
143,conv2d_2,"(1, 1, 1, 3)",25
144,conv2d_2,"(0, 1, 12, 15)",7
145,conv2d_2,"(0, 0, 14, 1)",27
146,conv2d_2,"(2, 1, 13, 12)",16
147,conv2d_2,"(1, 0, 15, 3)",17
148,conv2d_2,"(2, 2, 12, 4)",29
149,conv2d_2,"(1, 0, 1, 5)",3
150,conv2d_2,"(1, 1, 6, 5)",23
151,conv2d_2,"(2, 0, 8, 10)",21
152,conv2d_2,"(0, 1, 3, 4)",2
153,conv2d_2,"(2, 1, 8, 6)",4
154,conv2d_2,"(2, 2, 9, 6)",1
155,conv2d_2,"(0, 1, 1, 10)",12
156,conv2d_2,"(1, 2, 2, 3)",28
157,conv2d_2,"(0, 1, 6, 14)",3
158,conv2d_2,"(0, 2, 8, 14)",18
159,conv2d_2,"(1, 0, 2, 7)",18
160,conv2d_2,"(1, 1, 10, 15)",0
161,conv2d_2,"(1, 0, 8, 15)",20
162,conv2d_2,"(2, 0, 2, 13)",16
163,conv2d_2,"(0, 2, 5, 11)",23
