Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 0, 2, 6)",7
1,conv2d,"(0, 1, 0, 11)",22
2,conv2d,"(2, 2, 0, 5)",28
3,conv2d,"(2, 2, 2, 12)",3
4,conv2d,"(1, 0, 2, 8)",26
5,conv2d,"(0, 2, 2, 7)",24
6,conv2d,"(1, 2, 1, 8)",25
7,conv2d,"(1, 1, 0, 6)",25
8,conv2d,"(1, 0, 1, 6)",19
9,conv2d,"(0, 0, 2, 8)",19
10,conv2d,"(2, 1, 1, 12)",26
11,conv2d,"(0, 2, 0, 4)",16
12,conv2d,"(2, 2, 1, 13)",31
13,conv2d,"(1, 0, 0, 15)",11
14,conv2d,"(2, 1, 1, 14)",11
15,conv2d,"(2, 1, 0, 14)",9
16,conv2d,"(2, 0, 2, 1)",20
17,conv2d_1,"(1, 0, 9, 14)",23
18,conv2d_1,"(0, 2, 8, 1)",4
19,conv2d_1,"(2, 2, 14, 10)",31
20,conv2d_1,"(0, 0, 11, 14)",31
21,conv2d_1,"(0, 1, 11, 7)",24
22,conv2d_1,"(2, 2, 6, 12)",29
23,conv2d_1,"(0, 0, 3, 8)",11
24,conv2d_1,"(1, 2, 5, 14)",4
25,conv2d_1,"(2, 0, 14, 6)",27
26,conv2d_1,"(2, 1, 12, 15)",10
27,conv2d_1,"(2, 2, 4, 13)",7
28,conv2d_1,"(2, 0, 7, 1)",1
29,conv2d_1,"(0, 0, 0, 9)",18
30,conv2d_1,"(0, 1, 10, 14)",6
31,conv2d_1,"(1, 2, 9, 13)",17
32,conv2d_1,"(1, 0, 3, 15)",15
33,conv2d_1,"(2, 1, 12, 8)",16
34,conv2d_1,"(1, 2, 6, 7)",27
35,conv2d_1,"(2, 0, 15, 6)",5
36,conv2d_1,"(1, 1, 4, 7)",25
37,conv2d_1,"(2, 1, 5, 10)",29
38,conv2d_1,"(2, 2, 14, 2)",18
39,conv2d_1,"(2, 1, 10, 3)",14
40,conv2d_1,"(2, 1, 4, 15)",19
41,conv2d_1,"(2, 2, 9, 8)",18
42,conv2d_1,"(2, 2, 13, 14)",26
43,conv2d_1,"(0, 1, 9, 9)",11
