inj_id,target_layer,layer_weigths,bit_pos,n_injections,top_1_correct,top_5_correct,top_1_robust,top_5_robust,masked,non_critical,critical
GOLDEN,,,,10,10,10,,,,
0,conv2d,"(2, 1, 0, 3)",15,10,10,10,10,10,0,10,0
1,conv2d,"(2, 0, 0, 7)",5,10,10,10,10,10,0,10,0
2,conv2d,"(0, 0, 0, 13)",30,10,2,5,2,5,0,2,8
3,conv2d,"(2, 0, 2, 7)",12,10,10,10,10,10,0,10,0
4,conv2d,"(1, 2, 0, 13)",17,10,10,10,10,10,0,10,0
5,conv2d,"(2, 1, 0, 0)",21,10,10,10,10,10,0,10,0
6,conv2d,"(0, 1, 0, 8)",6,10,10,10,10,10,0,10,0
7,conv2d,"(0, 1, 1, 2)",22,10,10,10,10,10,0,10,0
8,conv2d,"(2, 1, 0, 8)",7,10,10,10,10,10,0,10,0
9,conv2d,"(2, 1, 0, 12)",23,10,10,10,10,10,0,10,0
10,conv2d,"(0, 0, 2, 6)",14,10,10,10,10,10,10,0,0
11,conv2d,"(0, 0, 0, 9)",24,10,10,10,10,10,0,10,0
12,conv2d,"(2, 1, 1, 8)",10,10,10,10,10,10,0,10,0
13,conv2d,"(0, 2, 1, 11)",17,10,10,10,10,10,0,10,0
14,conv2d,"(2, 0, 2, 2)",15,10,10,10,10,10,0,10,0
15,conv2d,"(1, 1, 1, 5)",14,10,10,10,10,10,0,10,0
16,conv2d,"(0, 0, 0, 10)",20,10,10,10,10,10,0,10,0
17,conv2d,"(0, 0, 1, 12)",20,10,10,10,10,10,0,10,0
18,conv2d,"(1, 1, 2, 6)",29,10,10,10,10,10,10,0,0
19,conv2d,"(0, 0, 1, 4)",16,10,10,10,10,10,0,10,0
20,conv2d,"(1, 1, 2, 13)",14,10,10,10,10,10,0,10,0
21,conv2d,"(1, 0, 2, 4)",3,10,10,10,10,10,0,10,0
22,conv2d,"(2, 0, 0, 3)",27,10,10,10,10,10,0,10,0
23,conv2d,"(1, 2, 1, 2)",29,10,10,10,10,10,0,10,0
24,conv2d,"(0, 2, 2, 8)",7,10,10,10,10,10,0,10,0
25,conv2d,"(1, 0, 2, 8)",18,10,10,10,10,10,0,10,0
